,route,neighbourhood,sublocality,administrative_area,lat,long
1400,East 15th Street,Midwood,Midwood,Kings County,40.6141979,-73.9591151
1401,Todt Hill Road,Todt Hill,Todt Hill,Richmond County,40.5839283,-74.1113788
1402,1st Street,Park Slope,Park Slope,Kings County,40.6712943,-73.9771145
1403,2nd Avenue,,Manhattan,New York County,40.7305606,-73.9859258
1404,Highland Boulevard,Cypress Hills,Cypress Hills,Kings County,40.6816001,-73.8948525
1405,16th Road,Flushing,Flushing,Queens County,40.7849809,-73.8178033
1406,Overlook Avenue,Todt Hill,Todt Hill,Richmond County,40.595688,-74.0982331
1407,Shore Front Parkway,Rockaway Park,Rockaway Park,Queens County,40.5824866,-73.8213437
1408,West 17th Street,,Manhattan,New York County,40.7408109,-73.998475
1409,Reade Street,,Manhattan,New York County,40.7159753,-74.0083683
1410,Kings College Place,Norwood,Norwood,Bronx County,40.8813916,-73.8757001
1411,Brighton Avenue,Mid Island,Mid Island,Richmond County,40.6333903,-74.0969828
1412,84th Street,Bensonhurst,Bensonhurst,Kings County,40.607214,-73.9998636
1413,Beekman Place,,Manhattan,New York County,40.754032,-73.965157
1414,87th Avenue,Queens Village,Queens Village,Queens County,40.7317712,-73.739171
1415,Shore Parkway,Sheepshead Bay,Sheepshead Bay,Kings County,40.586901,-73.932949
1416,East 18th Street,Flatbush,Flatbush,Kings County,40.6419847,-73.9614428
1417,Sterling Place,Crown Heights,Crown Heights,Kings County,40.674276,-73.9626129
1418,63rd Drive,Rego Park,Rego Park,Queens County,40.7308373,-73.8599677
1419,West 190th Street,Fordham Manor,Fordham Manor,Bronx County,40.863113,-73.8983227
1420,East 77th Street,,Manhattan,New York County,40.7707244,-73.9533267
1421,Newkirk Avenue,Kensington,Kensington,Kings County,40.6335949,-73.9678166
1422,Avenue K,Flatlands,Flatlands,Kings County,40.6254509,-73.9395115
1423,Excelsior Avenue,Prince's Bay,Prince's Bay,Richmond County,40.5209862,-74.2084631
1424,Independence Avenue,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8799897,-73.919862
1425,East 87th Street,,Manhattan,New York County,40.7822029,-73.959633
1426,57th Street,Borough Park,Borough Park,Kings County,40.629467,-73.994672
1427,Ovington Avenue,Bay Ridge,Bay Ridge,Kings County,40.631406,-74.0193512
1428,Avenue A,,Manhattan,New York County,40.7308035,-73.9808981
1429,Powells Cove Boulevard,Flushing,Flushing,Queens County,40.7942255,-73.7950678
1430,66th Street,Bensonhurst,Bensonhurst,Kings County,40.6147583,-73.9849887
1431,112th Street,Jamaica,Jamaica,Queens County,40.6803198,-73.8281794
1432,Talbot Street,Kew Gardens,Kew Gardens,Queens County,40.7095418,-73.8286658
1433,8th Avenue,Flushing,Flushing,Queens County,40.7928436,-73.8190811
1434,Shore Road,Fort Hamilton,Fort Hamilton,Kings County,40.620502,-74.0396973
1435,34th Avenue,Flushing,Flushing,Queens County,40.7676985,-73.7850344
1436,West 101st Street,,Manhattan,New York County,40.798761,-73.9721556
1437,165th Street,Jamaica,Jamaica,Queens County,40.7106599,-73.7986899
1438,83rd Place,Flushing,Flushing,Queens County,40.728555,-73.8780858
1439,77th Street,Jackson Heights,Jackson Heights,Queens County,40.7507718,-73.8890157
1440,Covert Street,Bushwick,Bushwick,Kings County,40.6852121,-73.9131299
1441,Water Street,Dumbo,Dumbo,Kings County,40.7028922,-73.9860614
1442,Morningstar Road,Mariners Harbor,Mariners Harbor,Richmond County,40.633314,-74.145909
1443,East 56th Street,,Manhattan,New York County,40.7568629,-73.9621341
1444,Amboy Road,Richmond,Richmond,Richmond County,40.5694974,-74.1237437
1445,4th Avenue,Bay Ridge,Bay Ridge,Kings County,40.6273371,-74.0262024
1446,113th Avenue,Jamaica,Jamaica,Queens County,40.6880649,-73.7919272
1447,Front Street,Dumbo,Dumbo,Kings County,40.702357,-73.9892037
1448,,East Bronx,East Bronx,Bronx County,40.8129128,-73.8461841
1449,West 28th Street,Coney Island,Coney Island,Kings County,40.5773399,-73.9943294
1450,East 96th Street,Canarsie,Canarsie,Kings County,40.6398004,-73.8974592
1451,159th Street,Flushing,Flushing,Queens County,40.7701584,-73.8052147
1452,East 55th Street,,Manhattan,New York County,40.7581216,-73.9670704
1453,37th Road,Flushing,Flushing,Queens County,40.7511112,-73.9089639
1454,West 144th Street,,Manhattan,New York County,40.8250069,-73.9486453
1455,Beach 101st Street,Rockaway Park,Rockaway Park,Queens County,40.5828044,-73.8210807
1456,Amboy Road,Tottenville,Tottenville,Richmond County,40.5078915,-74.2530332
1457,35th Avenue,Bayside,Bayside,Queens County,40.7693956,-73.7708144
1458,Ocean Parkway,Kensington,Kensington,Kings County,40.6358249,-73.973308
1459,12th Street,Park Slope,Park Slope,Kings County,40.6681258,-73.9897865
1460,63rd Street,Flushing,Flushing,Queens County,40.7368055,-73.9026152
1461,Elizabeth Street,West Brighton,West Brighton,Richmond County,40.6329023,-74.120945
1462,Amber Street,Howard Beach,Howard Beach,Queens County,40.6719007,-73.8590006
1463,North Burgher Avenue,Randall Manor,Randall Manor,Richmond County,40.6396483,-74.1151985
1464,Dixon Avenue,Mariners Harbor,Mariners Harbor,Richmond County,40.6278109,-74.146957
1465,268th Street,Floral Park,Floral Park,Queens County,40.7474641,-73.704456
1466,West 51st Street,,Manhattan,New York County,40.761427,-73.982584
1467,Flatlands Avenue,East New York,East New York,Kings County,40.657696,-73.8764091
1468,211th Street,Bayside,Bayside,Queens County,40.7805732,-73.7825806
1469,,Bay Ridge,Bay Ridge,Kings County,40.6358323,-74.0291372
1470,West 16th Street,,Brooklyn,Kings County,40.5871907,-73.9840965
1471,Sprague Avenue,Tottenville,Tottenville,Richmond County,40.5019991,-74.2372284
1472,Irving Place,Clifton,Clifton,Richmond County,40.6171678,-74.0837135
1473,John Street,Dumbo,Dumbo,Kings County,40.7046228,-73.9878238
1474,86th Street,Bay Ridge,Bay Ridge,Kings County,40.6248041,-74.0355778
1475,Brooklyn Avenue,Little Haiti,Little Haiti,Kings County,40.6503361,-73.9440072
1476,Gabrielle Court,Eltingville,Eltingville,Richmond County,40.551314,-74.1670026
1477,188th Street,Jamaica,Jamaica,Queens County,40.7284032,-73.7803984
1478,Fowler Avenue,Flushing,Flushing,Queens County,40.7517561,-73.8344347
1479,35th Avenue,Bayside,Bayside,Queens County,40.7664499,-73.78359
1480,Bennett Avenue,,Manhattan,New York County,40.8590729,-73.9322176
1481,Madison Avenue,,Manhattan,New York County,40.8099146,-73.9379084
1482,36th Avenue,Flushing,Flushing,Queens County,40.754545,-73.859675
1483,Broadway,Southside,Southside,Kings County,40.709905,-73.962869
1484,Marion Street,Ocean Hill,Ocean Hill,Kings County,40.681189,-73.9146606
1485,241st Street,Jamaica,Jamaica,Queens County,40.6729779,-73.7330064
1486,Goodridge Avenue,Fieldston,Fieldston,Bronx County,40.8969575,-73.9032123
1487,Dumont Avenue,Ozone Park,Ozone Park,Queens County,40.6726474,-73.8499883
1488,Unionport Road,Van Nest,Van Nest,Bronx County,40.8453241,-73.8684042
1489,West 215th Street,,Manhattan,New York County,40.8718895,-73.9188667
1490,13th Avenue,Flushing,Flushing,Queens County,40.7886657,-73.8207928
1491,Franklin Street,,Manhattan,New York County,40.7194435,-74.0081022
1492,219th Street,Jamaica,Jamaica,Queens County,40.6811645,-73.7493264
1493,54th Avenue,Flushing,Flushing,Queens County,40.7292895,-73.8945367
1494,Crystal Street,East New York,East New York,Kings County,40.6740009,-73.8743074
1495,Douglaston Parkway,Douglaston,Douglaston,Queens County,40.7670699,-73.74642
1496,,,Manhattan,New York County,40.7845412,-73.981249
1497,Powells Cove Boulevard,Whitestone,Whitestone,Queens County,40.7974719,-73.8143638
1498,Wheeler Avenue,Castleton Corners,Castleton Corners,Richmond County,40.6110496,-74.1309465
1499,Clove Road,Castleton Corners,Castleton Corners,Richmond County,40.6204781,-74.1109257
1500,2nd Avenue,,Manhattan,New York County,40.7929253,-73.9404138
1501,East 79th Street,,Manhattan,New York County,40.775111,-73.958515
1502,New Dorp Plaza,New Dorp,New Dorp,Richmond County,40.571472,-74.1193966
1503,India Street,Greenpoint,Greenpoint,Kings County,40.7322099,-73.9535842
1504,Saint Johns Place,Crown Heights,Crown Heights,Kings County,40.6736636,-73.9623858
1505,261st Street,Floral Park,Floral Park,Queens County,40.7320002,-73.7055812
1506,Richards Street,Red Hook,Red Hook,Kings County,40.6756128,-74.0124872
1507,Humboldt Street,Williamsburg,Williamsburg,Kings County,40.7135237,-73.942354
1508,Kappock Street,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.878087,-73.9170513
1509,West 85th Street,,Manhattan,New York County,40.7867652,-73.9753353
1510,East 70th Street,Bergen Beach,Bergen Beach,Kings County,40.6243164,-73.9136042
1511,West 92nd Street,,Manhattan,New York County,40.7896573,-73.9673229
1512,Beach 69th Street,Arverne,Arverne,Queens County,40.5974508,-73.7983993
1513,Heberton Avenue,Port Richmond,Port Richmond,Richmond County,40.6313071,-74.1356833
