,route,neighbourhood,sublocality,administrative_area,lat,long
0,,,Manhattan,New York County,40.761255,-73.9744834
1,West 57th Street,,Manhattan,New York County,40.7663935,-73.9809909
2,Sinclair Avenue,Woodrow,Woodrow,Richmond County,40.5418051,-74.1961086
3,East 55th Street,,Manhattan,New York County,40.7613979,-73.9746128
4,East 64th Street,,Manhattan,New York County,40.7672235,-73.9698561
5,Park Place,Crown Heights,Crown Heights,Kings County,40.6743632,-73.9587248
6,West 126th Street,,Manhattan,New York County,40.809448,-73.946777
7,Morrison Avenue,East Bronx,East Bronx,Bronx County,40.8215857,-73.8740892
8,Ocean Parkway,Midwood,Midwood,Kings County,40.6157378,-73.9696944
9,Grand Concourse,Concourse Village,Concourse Village,Bronx County,40.8248699,-73.9229829
10,Van Name Avenue,Mid Island,Mid Island,Richmond County,40.6249962,-74.1553058
11,85th Street,Jackson Heights,Jackson Heights,Queens County,40.7531191,-73.8818757
12,Lamont Avenue,Elmhurst,Elmhurst,Queens County,40.7438639,-73.8745722
13,Jane Street,,Manhattan,New York County,40.7382981,-74.0058899
14,Amboy Road,Annadale,Annadale,Richmond County,40.5406209,-74.1671632
15,Hobart Street,Flushing,Flushing,Queens County,40.7607676,-73.9056672
16,Ridge Boulevard,Fort Hamilton,Fort Hamilton,Kings County,40.6181029,-74.0369047
17,,,New York,,40.9073699,-73.9065578
18,Queens Boulevard,Rego Park,Rego Park,Queens County,40.7324713,-73.8670804
19,Clove Way,Castleton Corners,Castleton Corners,Richmond County,40.6207403,-74.1114362
20,71st Road,Forest Hills,Forest Hills,Queens County,40.7202429,-73.8430513
21,Ellsworth Avenue,East Bronx,East Bronx,Bronx County,40.8343936,-73.8221101
22,Cromwell Avenue,Dongan Hills,Dongan Hills,Richmond County,40.5902064,-74.0958034
23,Loretto Street,Tottenville,Tottenville,Richmond County,40.5039785,-74.2396555
24,85th Road,Briarwood,Briarwood,Queens County,40.710749,-73.809486
25,81st Street,Jackson Heights,Jackson Heights,Queens County,40.7505078,-73.8851355
26,Junction Boulevard,Jackson Heights,Jackson Heights,Queens County,40.7557689,-73.8734231
27,Hillside Avenue,Clifton,Clifton,Richmond County,40.6155667,-74.0869554
28,Hollywood Avenue,East Bronx,East Bronx,Bronx County,40.8242389,-73.8173809
29,Holiday Way,Mid Island,Mid Island,Richmond County,40.6210398,-74.1504313
30,Union Avenue,Mariners Harbor,Mariners Harbor,Richmond County,40.6274381,-74.1581613
31,Hinsdale Street,East New York,East New York,Kings County,40.6615475,-73.898309
32,Ocean Avenue,Midwood,Midwood,Kings County,40.6179165,-73.9546305
33,63rd Street,Dyker Heights,Dyker Heights,Kings County,40.6275896,-74.0016198
34,Kissena Boulevard,Flushing,Flushing,Queens County,40.7528774,-73.8211834
35,Berry Street,Williamsburg,Williamsburg,Kings County,40.711969,-73.9649468
36,Simon Court,Tottenville,Tottenville,Richmond County,40.5159256,-74.2361135
37,West Tremont Avenue,Morris Heights,Morris Heights,Bronx County,40.852813,-73.9176871
38,63rd Street,Mapleton,Mapleton,Kings County,40.614446,-73.9795824
39,91st Avenue,Woodhaven,Woodhaven,Queens County,40.688312,-73.856322
40,Gerard Avenue,Concourse,Concourse,Bronx County,40.8260352,-73.9256625
41,Union Street,Flushing,Flushing,Queens County,40.753455,-73.8209077
42,141st Street,Jamaica,Jamaica,Queens County,40.6847504,-73.8027331
43,Prince Street,,Manhattan,New York County,40.725464,-73.9999212
44,Jordan Street,Flushing,Flushing,Queens County,40.768457,-73.789417
45,Austin Place,Mid Island,Mid Island,Richmond County,40.6315346,-74.0856344
46,South Greenleaf Avenue,Castleton Corners,Castleton Corners,Richmond County,40.6233188,-74.1259917
47,112th Street,South Richmond Hill,South Richmond Hill,Queens County,40.6868333,-73.8309133
48,Bay 22nd Street,Bath Beach,Bath Beach,Kings County,40.6042861,-74.0012526
49,,Mid Island,Mid Island,Richmond County,40.6481488,-74.0847983
50,80th Street,Bay Ridge,Bay Ridge,Kings County,40.6281691,-74.0297598
51,Centre Street,,Manhattan,New York County,40.7199716,-73.9980266
52,Hicks Street,Cobble Hill,Cobble Hill,Kings County,40.6866098,-73.9997131
53,Manhattan Street,Tottenville,Tottenville,Richmond County,40.5016233,-74.2417531
54,Clove Road,Sunnyside,Sunnyside,Richmond County,40.6175,-74.103996
55,Waldron Avenue,Sunnyside,Sunnyside,Richmond County,40.618648,-74.1019085
56,Lincoln Place,Park Slope,Park Slope,Kings County,40.6754035,-73.9742051
57,West End Avenue,,Manhattan,New York County,40.7802357,-73.9846328
58,Brighton 1st Road,Brighton Beach,Brighton Beach,Kings County,40.5751942,-73.9669983
59,East 66th Street,,Manhattan,New York County,40.7643711,-73.9593578
60,Rivington Street,,Manhattan,New York County,40.7193408,-73.9856438
61,Cortelyou Road,Flatbush,Flatbush,Kings County,40.6400234,-73.9676099
62,Bergen Street,Prospect Heights,Prospect Heights,Kings County,40.6787789,-73.9643728
63,Woodhaven Boulevard,Woodhaven,Woodhaven,Queens County,40.700309,-73.8535466
64,Center Place,New Dorp Beach,New Dorp Beach,Richmond County,40.5632116,-74.1002521
65,Wiman Avenue,Great Kills,Great Kills,Richmond County,40.5395319,-74.1450877
66,East 79th Street,,Manhattan,New York County,40.7765613,-73.9633167
67,Lafayette Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6915139,-73.935444
68,Jefferson Avenue,Bushwick,Bushwick,Kings County,40.6967268,-73.9074036
69,166th Street,Flushing,Flushing,Queens County,40.7832094,-73.7967588
70,Father Capodanno Boulevard,South Beach,South Beach,Richmond County,40.5874844,-74.0701056
71,Fairview Avenue,Ridgewood,Ridgewood,Queens County,40.7083434,-73.9081614
72,West 57th Street,,Manhattan,New York County,40.764953,-73.977568
73,Ocean View Avenue,Brighton Beach,Brighton Beach,Kings County,40.5785288,-73.9655666
74,De Reimer Avenue,Edenwald,Edenwald,Bronx County,40.8841699,-73.8388387
75,148th Drive,Jamaica,Jamaica,Queens County,40.6534433,-73.741373
76,3rd Avenue,,Manhattan,New York County,40.7833546,-73.9499982
77,West 11th Street,,Manhattan,New York County,40.7363219,-74.0018035
78,East 21st Street,,Manhattan,New York County,40.736608,-73.9822819
79,150th Street,Jamaica,Jamaica,Queens County,40.66911,-73.789339
80,Craft Avenue,Rosedale,Rosedale,Queens County,40.6499031,-73.7354706
81,Colfax Avenue,Midland Beach,Midland Beach,Richmond County,40.5784263,-74.105437
82,Narrows Avenue,Bay Ridge,Bay Ridge,Kings County,40.6282935,-74.0379695
83,East 48th Street,Flatlands,Flatlands,Kings County,40.6239146,-73.9291226
84,Prince Street,,Manhattan,New York County,40.7267732,-74.002538
85,West 103rd Street,,Manhattan,New York County,40.7986579,-73.9679035
86,East 39th Street,East Flatbush,East Flatbush,Kings County,40.6362368,-73.939679
87,East 71st Street,,Manhattan,New York County,40.7700395,-73.9638872
88,Bruckner Boulevard,East Bronx,East Bronx,Bronx County,40.8429545,-73.8249591
89,Mountainview Avenue,Castleton Corners,Castleton Corners,Richmond County,40.6105856,-74.1268175
90,Shore Road,Fort Hamilton,Fort Hamilton,Kings County,40.6170731,-74.0383836
91,Palisade Avenue,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8809873,-73.9224337
92,Lurting Avenue,Laconia,Laconia,Bronx County,40.8690109,-73.8564445
93,East 234th Street,East Bronx,East Bronx,Bronx County,40.8969146,-73.8654984
94,Riverside Drive,,Manhattan,New York County,40.782238,-73.9846322
95,80th Street,Bay Ridge,Bay Ridge,Kings County,40.6241766,-74.0216837
96,Adelphi Avenue,Tottenville,Tottenville,Richmond County,40.5159004,-74.2314825
97,Carroll Street,Carroll Gardens,Carroll Gardens,Kings County,40.6813429,-73.9981509
98,Dare Court,Gerritsen Beach,Gerritsen Beach,Kings County,40.5877991,-73.9216187
99,4 Court,Southeast Annadale,Southeast Annadale,Richmond County,40.5247627,-74.1681035
100,4th Street,Park Slope,Park Slope,Kings County,40.6680619,-73.9748375
101,East 102nd Street,,Manhattan,New York County,40.7897507,-73.9487257
102,West 75th Street,,Manhattan,New York County,40.7810583,-73.9808407
103,Convent Avenue,,Manhattan,New York County,40.8235127,-73.9467514
104,83rd Street,Dyker Heights,Dyker Heights,Kings County,40.6178184,-74.0151165
105,Armstrong Avenue,Eltingville,Eltingville,Richmond County,40.5423126,-74.1555672
106,South Oak Drive,Williamsbridge,Williamsbridge,Bronx County,40.8726182,-73.8651768
107,Shepherd Avenue,East New York,East New York,Kings County,40.665357,-73.8770867
108,104th Street,Jamaica,Jamaica,Queens County,40.6837891,-73.8381042
109,224th Street,Jamaica,Jamaica,Queens County,40.67538,-73.7472571
110,Neutral Avenue,New Dorp Beach,New Dorp Beach,Richmond County,40.5604695,-74.1018925
111,East 74th Street,,Manhattan,New York County,40.772929,-73.9635462
112,West 154th Street,,Manhattan,New York County,40.8307115,-73.9424229
113,Brookhaven Avenue,Far Rockaway,Far Rockaway,Queens County,40.5980695,-73.7632649
114,93rd Road,Jamaica,Jamaica,Queens County,40.723245,-73.7293286
115,Lamont Avenue,Woodrow,Woodrow,Richmond County,40.5387812,-74.193378
116,Edgewater Park,East Bronx,East Bronx,Bronx County,40.8246371,-73.8072061
117,Indale Avenue,Prince's Bay,Prince's Bay,Richmond County,40.5143019,-74.2044734
118,Warren Street,,Manhattan,New York County,40.7143354,-74.0087443
119,Cliff Street,Shore Acres,Shore Acres,Richmond County,40.6109595,-74.060351
120,Emily Road,Bayside,Bayside,Queens County,40.7881763,-73.7877051
121,East 29th Street,Little Haiti,Little Haiti,Kings County,40.6366859,-73.9488175
122,East 72nd Street,,Manhattan,New York County,40.7702318,-73.9610161
123,Arlington Avenue,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8822913,-73.9137305
124,Edgewater Park,East Bronx,East Bronx,Bronx County,40.8224987,-73.8111568
125,West 142nd Street,,Manhattan,New York County,40.824015,-73.9502067
126,Grand Central Parkway,Glen Oaks,Glen Oaks,Queens County,40.7566899,-73.72075
127,71st Avenue,Fresh Meadows,Fresh Meadows,Queens County,40.7302938,-73.8059248
128,Marion Avenue,West Bronx,West Bronx,Bronx County,40.8663864,-73.8878945
129,Miles Avenue,East Bronx,East Bronx,Bronx County,40.8176549,-73.8197053
130,West 80th Street,,Manhattan,New York County,40.7832598,-73.976047
131,Mapleton Avenue,Midland Beach,Midland Beach,Richmond County,40.574451,-74.0929448
132,Ohm Avenue,East Bronx,East Bronx,Bronx County,40.8454501,-73.8209766
133,West 89th Street,,Manhattan,New York County,40.7905714,-73.9753392
134,Patterson Avenue,Midland Beach,Midland Beach,Richmond County,40.5731273,-74.089182
135,9th Avenue,Breezy Point,Breezy Point,Queens County,40.5595612,-73.9147409
136,Plimpton Avenue,Highbridge,Highbridge,Bronx County,40.8423705,-73.9234444
137,88th Street,Jamaica,Jamaica,Queens County,40.6590909,-73.8451972
138,111th Avenue,Jamaica,Jamaica,Queens County,40.688533,-73.796529
139,Beach 24th Street,Far Rockaway,Far Rockaway,Queens County,40.5950021,-73.7577376
140,Avenue V,Sheepshead Bay,Sheepshead Bay,Kings County,40.5997081,-73.9344974
141,220th Street,Cambria Heights,Cambria Heights,Queens County,40.6968706,-73.7390395
142,Dexter Avenue,Woodrow,Woodrow,Richmond County,40.5397292,-74.2155251
143,Vernon Avenue,Prince's Bay,Prince's Bay,Richmond County,40.5302132,-74.1981906
144,Bayview Avenue,Seagate,Seagate,Kings County,40.5805262,-74.0061062
145,Grand Central Parkway,Glen Oaks,Glen Oaks,Queens County,40.7577991,-73.7159564
146,B 140 Street,Rockaway Park,Rockaway Park,Queens County,40.57372,-73.8577786
147,Gay Street,,Manhattan,New York County,40.7336687,-74.000518
148,83rd Street,Jamaica,Jamaica,Queens County,40.657686,-73.8489131
149,Rector Place,,Manhattan,New York County,40.7086444,-74.0161953
150,Pierrepont Street,Brooklyn Heights,Brooklyn Heights,Kings County,40.6948972,-73.9925741
151,Copperleaf Terrace,Todt Hill,Todt Hill,Richmond County,40.5861193,-74.1075476
152,27th Avenue,Flushing,Flushing,Queens County,40.7780417,-73.7739629
153,Hamilton Terrace,,Manhattan,New York County,40.8229141,-73.9460622
154,Columbus Avenue,,Manhattan,New York County,40.7887084,-73.9700091
155,Lake Avenue,Mariners Harbor,Mariners Harbor,Richmond County,40.6291962,-74.1518654
156,Mill Avenue,Mill Basin,Mill Basin,Kings County,40.610206,-73.91065
157,Princewood Avenue,Prince's Bay,Prince's Bay,Richmond County,40.5273247,-74.1983282
158,88th Street,Flushing,Flushing,Queens County,40.760703,-73.880887
159,9th Street,Park Slope,Park Slope,Kings County,40.6674938,-73.9832146
160,244th Street,Flushing,Flushing,Queens County,40.765022,-73.7422005
161,Coster Street,Hunts Point,Hunts Point,Bronx County,40.8159966,-73.8881001
162,Parsons Boulevard,Flushing,Flushing,Queens County,40.7679673,-73.8246067
163,Bethel Avenue,Tottenville,Tottenville,Richmond County,40.515251,-74.235145
164,Hart Boulevard,West Brighton,West Brighton,Richmond County,40.6296431,-74.1005274
165,84th Street,Dyker Heights,Dyker Heights,Kings County,40.6164182,-74.0142443
166,Vineland Avenue,Woodrow,Woodrow,Richmond County,40.551184,-74.1840649
167,141st Street,Jamaica,Jamaica,Queens County,40.677393,-73.800094
168,33rd Avenue,Flushing,Flushing,Queens County,40.7668312,-73.7911175
169,Reade Street,,Manhattan,New York County,40.7164224,-74.0101197
170,East 58th Street,,Manhattan,New York County,40.7600248,-73.9653546
171,Prescott Avenue,Midland Beach,Midland Beach,Richmond County,40.5788586,-74.11209
172,,Kew Gardens,Kew Gardens,Queens County,40.7127599,-73.83433
173,Wickham Avenue,East Bronx,East Bronx,Bronx County,40.8679701,-73.836565
174,West 2nd Street,Bensonhurst,Bensonhurst,Kings County,40.6090909,-73.9762651
175,Giegerich Place,East Bronx,East Bronx,Bronx County,40.8130775,-73.8063357
176,Madison Street,,Manhattan,New York County,40.7120703,-73.9983258
177,47th Street,Astoria,Astoria,Queens County,40.7697773,-73.9014478
178,West 70th Street,,Manhattan,New York County,40.7758194,-73.9785263
179,Putnam Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.686947,-73.9261885
180,Whitson Street,Forest Hills,Forest Hills,Queens County,40.7107701,-73.8406935
181,Duffield Street,Bridge Plaza,Bridge Plaza,Kings County,40.6965326,-73.9839654
182,Union Street,Park Slope,Park Slope,Kings County,40.673976,-73.973535
183,Kirshon Avenue,Bulls Head,Bulls Head,Richmond County,40.6137764,-74.1600305
184,Slater Boulevard,Midland Beach,Midland Beach,Richmond County,40.5803331,-74.0885167
185,Holly Street,Todt Hill,Todt Hill,Richmond County,40.5993523,-74.0953882
186,East 53rd Street,Flatlands,Flatlands,Kings County,40.6222734,-73.924094
187,Bleecker Street,,Manhattan,New York County,40.7252187,-73.9929764
188,Nostrand Avenue,Crown Heights,Crown Heights,Kings County,40.6738566,-73.9506085
189,Freeborn Street,Midland Beach,Midland Beach,Richmond County,40.574103,-74.0931668
190,,,Manhattan,New York County,40.737308,-74.0046666
191,Poillon Avenue,Southeast Annadale,Southeast Annadale,Richmond County,40.5273093,-74.1753435
192,Wilson Avenue,Bushwick,Bushwick,Kings County,40.6898164,-73.9062474
193,Henry Hudson Parkway West,Hudson Hill,Hudson Hill,Bronx County,40.8968048,-73.9087471
194,Park Avenue,,Manhattan,New York County,40.7651716,-73.9678719
195,Newman Avenue,Clason Point,Clason Point,Bronx County,40.8109146,-73.853921
196,West 16th Street,,Brooklyn,Kings County,40.5866482,-73.9845156
197,College Avenue,Mid Island,Mid Island,Richmond County,40.621814,-74.1406264
198,Calloway Street,Corona,Corona,Queens County,40.7381853,-73.8581248
199,East 64th Street,,Manhattan,New York County,40.764989,-73.9655331
200,Riverside Drive,,Manhattan,New York County,40.784623,-73.9826586
201,Shore Parkway,Gravesend,Gravesend,Kings County,40.583514,-73.9738903
202,Simmons Lane,Travis - Chelsea,Travis - Chelsea,Richmond County,40.5939378,-74.1843153
203,16th Avenue,Bayside,Bayside,Queens County,40.7855174,-73.7797613
204,West 22nd Street,,Manhattan,New York County,40.7455051,-74.0016003
205,71st Street,Bay Ridge,Bay Ridge,Kings County,40.6351164,-74.0311609
206,215th Street,Bayside,Bayside,Queens County,40.7839299,-73.77643
207,Van Nest Avenue,Van Nest,Van Nest,Bronx County,40.8451067,-73.8601577
208,Harbour Court,Great Kills,Great Kills,Richmond County,40.5387352,-74.1423893
209,Savo Loop,,Staten Island,Richmond County,40.521278,-74.2230351
210,Freedom Avenue,Bulls Head,Bulls Head,Richmond County,40.5953144,-74.1628286
211,Continental Avenue,Forest Hills,Forest Hills,Queens County,40.7186003,-73.8453488
212,Boller Avenue,East Bronx,East Bronx,Bronx County,40.8808173,-73.8350832
213,23rd Avenue,Bayside,Bayside,Queens County,40.7824499,-73.7765099
214,Nostrand Avenue,Sheepshead Bay,Sheepshead Bay,Kings County,40.5894827,-73.9395372
215,East 63rd Street,,Manhattan,New York County,40.7640501,-73.964336
216,3rd Avenue,,Manhattan,New York County,40.7708195,-73.9595235
217,East 73rd Street,,Manhattan,New York County,40.7699425,-73.9583558
218,129th Street,Kew Gardens,Kew Gardens,Queens County,40.7050355,-73.8241699
219,East 57th Street,,Manhattan,New York County,40.7573479,-73.9614914
220,26th Avenue,,Brooklyn,Kings County,40.5905451,-73.9910402
221,Austin Street,Forest Hills,Forest Hills,Queens County,40.7157399,-73.83672
222,East 217th Street,Williamsbridge,Williamsbridge,Bronx County,40.8796143,-73.856153
223,Powell Street,Brownsville,Brownsville,Kings County,40.6610456,-73.9019953
224,East 108th Street,,Manhattan,New York County,40.7917785,-73.9406204
225,,,New York,,40.6123868,-74.1511288
226,Goethals Road North,Mid Island,Mid Island,Richmond County,40.6166867,-74.1576647
227,118th Street,Kew Gardens,Kew Gardens,Queens County,40.7047878,-73.8344551
228,Union Turnpike,Kew Gardens,Kew Gardens,Queens County,40.7123992,-73.8339305
229,Lyman Place,Todt Hill,Todt Hill,Richmond County,40.6050685,-74.0969483
230,Metropolitan Avenue,Parkchester,Parkchester,Bronx County,40.840459,-73.8542045
231,West 135th Street,,Manhattan,New York County,40.8189893,-73.953108
232,Anderson Avenue,Highbridge,Highbridge,Bronx County,40.8366623,-73.9239586
233,West 107th Street,,Manhattan,New York County,40.8018548,-73.9672877
234,West 108th Street,,Manhattan,New York County,40.8028416,-73.9670229
235,134th Street,Jamaica,Jamaica,Queens County,40.7130136,-73.8230375
236,Bowne Street,Flushing,Flushing,Queens County,40.756144,-73.8213672
237,Gramercy Park North,,Manhattan,New York County,40.7382884,-73.9851838
238,East 90th Street,,Manhattan,New York County,40.7779975,-73.9445342
239,131st Avenue,Rosedale,Rosedale,Queens County,40.6779049,-73.733881
240,Flagg Court,Todt Hill,Todt Hill,Richmond County,40.5882505,-74.1087291
241,4th Street,Park Slope,Park Slope,Kings County,40.6683947,-73.9762195
242,92nd Street,Jackson Heights,Jackson Heights,Queens County,40.7562792,-73.8758052
243,Willoughby Avenue,Clinton Hill,Clinton Hill,Kings County,40.6914843,-73.9676428
244,Story Avenue,East Bronx,East Bronx,Bronx County,40.8236857,-73.8611313
245,East 5th Street,Midwood,Midwood,Kings County,40.6196386,-73.9707307
246,Snyder Avenue,Little Caribbean,Little Caribbean,Kings County,40.6498755,-73.9375091
247,Metropolitan Avenue,Parkchester,Parkchester,Bronx County,40.8362269,-73.8612346
248,Vietor Avenue,Elmhurst,Elmhurst,Queens County,40.743059,-73.880983
249,169th Street,Flushing,Flushing,Queens County,40.774158,-73.7957477
250,Pierrepont Street,Brooklyn Heights,Brooklyn Heights,Kings County,40.6949321,-73.9928542
251,Seneca Avenue,Ridgewood,Ridgewood,Queens County,40.7032697,-73.9088462
252,Taylor Avenue,East Bronx,East Bronx,Bronx County,40.8244358,-73.8633737
253,West 46th Street,,Manhattan,New York County,40.7598542,-73.9874427
254,Macon Street,Stuyvesant Heights,Stuyvesant Heights,Kings County,40.6820924,-73.9393924
255,13th Street,Park Slope,Park Slope,Kings County,40.6662599,-73.9870141
256,5th Avenue,,Manhattan,New York County,40.778004,-73.962547
257,West End Avenue,,Manhattan,New York County,40.777244,-73.9868738
258,59th Street,Borough Park,Borough Park,Kings County,40.6339124,-74.0058434
259,Bay 11th Street,Bath Beach,Bath Beach,Kings County,40.6083914,-74.0100209
260,Seymour Avenue,Laconia,Laconia,Bronx County,40.8728082,-73.8469489
261,East 96th Street,East Flatbush,East Flatbush,Kings County,40.6597134,-73.9195979
262,67th Road,Forest Hills,Forest Hills,Queens County,40.7282899,-73.8472
263,East 46th Street,,Manhattan,New York County,40.751918,-73.9698335
264,East 79th Street,,Manhattan,New York County,40.7712538,-73.950858
265,East 64th Street,,Manhattan,New York County,40.7645034,-73.9648503
266,Bennett Avenue,,Manhattan,New York County,40.8539526,-73.9345678
267,East 24th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5902653,-73.9455056
268,Remsen Avenue,Canarsie,Canarsie,Kings County,40.6360957,-73.9018295
269,Davis Avenue,Randall Manor,Randall Manor,Richmond County,40.6402659,-74.110402
270,Brighton 10th Path,Brighton Beach,Brighton Beach,Kings County,40.5813374,-73.9589282
271,Beach 37th Street,Far Rockaway,Far Rockaway,Queens County,40.5967151,-73.7696424
272,Avenue J,Canarsie,Canarsie,Kings County,40.6468871,-73.8907758
273,East 73rd Street,,Manhattan,New York County,40.7701914,-73.9590118
274,West 42nd Street,,Manhattan,New York County,40.7604194,-73.9968086
275,,,Manhattan,New York County,40.7078844,-74.0140879
276,82nd Street,Jamaica,Jamaica,Queens County,40.6662035,-73.8525027
277,West 107th Street,,Manhattan,New York County,40.7989043,-73.9604812
278,Richmond Terrace,,Staten Island,Richmond County,40.638069,-74.1627747
279,64th Lane,Flushing,Flushing,Queens County,40.700194,-73.8907488
280,East 57th Street,,Manhattan,New York County,40.7573949,-73.9606545
281,Amboy Road,Charleston,Charleston,Richmond County,40.5184841,-74.2244185
282,Richmond Street,Cypress Hills,Cypress Hills,Kings County,40.6828535,-73.8769965
283,East 51st Street,East Flatbush,East Flatbush,Kings County,40.6336127,-73.9276041
284,Todt Hill Road,Todt Hill,Todt Hill,Richmond County,40.5813757,-74.1131912
285,George Street,Tottenville,Tottenville,Richmond County,40.5065922,-74.2393503
286,Remsen Street,Brooklyn Heights,Brooklyn Heights,Kings County,40.6939582,-73.9943695
287,West 170th Street,,Manhattan,New York County,40.8434062,-73.9407947
288,West 30th Street,,Manhattan,New York County,40.7464683,-73.9872992
289,Neptune Avenue,Seagate,Seagate,Kings County,40.5768936,-74.0048793
290,Concord Place,Mid Island,Mid Island,Richmond County,40.611142,-74.0905357
291,Snyder Avenue,Little Haiti,Little Haiti,Kings County,40.6491203,-73.9440658
292,Nostrand Avenue,Little Haiti,Little Haiti,Kings County,40.6471477,-73.9489423
293,Cabrini Boulevard,,Manhattan,New York County,40.856444,-73.9377616
294,East 92nd Street,Canarsie,Canarsie,Kings County,40.6372545,-73.9002674
295,East 8th Street,Kensington,Kensington,Kings County,40.6453011,-73.9723049
296,Lamoka Avenue,Eltingville,Eltingville,Richmond County,40.5487767,-74.1629254
297,Frederick Douglass Boulevard,,Manhattan,New York County,40.807426,-73.9535703
298,59th Avenue,Flushing,Flushing,Queens County,40.7190856,-73.9060914
299,Glenwood Road,Little Haiti,Little Haiti,Kings County,40.634316,-73.9462919
300,Edenwald Avenue,East Bronx,East Bronx,Bronx County,40.8920958,-73.8487361
301,West 19th Street,,Manhattan,New York County,40.7449256,-74.0057175
302,Edson Avenue,East Bronx,East Bronx,Bronx County,40.8979269,-73.8463057
303,Lafayette Street,,Manhattan,New York County,40.7295412,-73.9913066
304,Lexington Avenue,,Manhattan,New York County,40.7687538,-73.9631311
305,Franklin Street,,Manhattan,New York County,40.7174584,-74.0038831
306,West 87th Street,,Manhattan,New York County,40.7895034,-73.9769713
307,Riverside Boulevard,,Manhattan,New York County,40.7804721,-73.9871434
308,,,Manhattan,New York County,40.7488879,-73.9723947
309,Ward Avenue,East Bronx,East Bronx,Bronx County,40.8270095,-73.8766285
310,Fteley Avenue,East Bronx,East Bronx,Bronx County,40.8333931,-73.8727914
311,215th Street,Queens Village,Queens Village,Queens County,40.7128326,-73.7435779
312,Park Avenue,Fort Greene,Fort Greene,Kings County,40.6962962,-73.9720502
313,Adrian Avenue,,The Bronx,New York County,40.8767388,-73.911189
314,East 74th Street,,Manhattan,New York County,40.7708932,-73.9586258
315,99th Street,Jamaica,Jamaica,Queens County,40.6505528,-73.8316736
316,Riverside Boulevard,,Manhattan,New York County,40.7798567,-73.9873973
317,Gettysburg Street,Jamaica,Jamaica,Queens County,40.7299787,-73.7310756
318,Lamberts Lane,Bulls Head,Bulls Head,Richmond County,40.6153952,-74.1610855
319,2nd Place,Carroll Gardens,Carroll Gardens,Kings County,40.6800067,-73.9982111
320,Cherry Street,,Manhattan,New York County,40.710456,-73.991235
321,Roosevelt Avenue,Flushing,Flushing,Queens County,40.7607942,-73.8258766
322,Stalie Court,Prince's Bay,Prince's Bay,Richmond County,40.5239722,-74.2213406
323,253rd Street,Jamaica,Jamaica,Queens County,40.7294367,-73.7125595
324,East 110th Street,,Manhattan,New York County,40.7945743,-73.9434214
325,125th Street,Richmond Hill,Richmond Hill,Queens County,40.7019014,-73.8256776
326,65th Street,Flushing,Flushing,Queens County,40.7138975,-73.8970229
327,Canterbury Avenue,Mid Island,Mid Island,Richmond County,40.6165347,-74.1507186
328,193rd Street,Jamaica,Jamaica,Queens County,40.6886004,-73.7568067
329,Sheldon Avenue,Woodrow,Woodrow,Richmond County,40.5409077,-74.1964937
330,Magnolia Place,East Bronx,East Bronx,Bronx County,40.8131429,-73.808397
331,Andrews Avenue South,Morris Heights,Morris Heights,Bronx County,40.8524948,-73.9151397
332,Vermont Street,East New York,East New York,Kings County,40.6541622,-73.8846778
333,Tompkins Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6826476,-73.9434923
334,Avenue N,Flatlands,Flatlands,Kings County,40.618915,-73.931211
335,Renfrew Place,Mariners Harbor,Mariners Harbor,Richmond County,40.6268305,-74.1471405
336,Park Avenue,,Manhattan,New York County,40.7779497,-73.959448
337,Bolton Street,East Bronx,East Bronx,Bronx County,40.8560699,-73.8688751
338,Flatbush Avenue,Marine Park,Marine Park,Kings County,40.6162917,-73.929914
339,Lawton Avenue,East Bronx,East Bronx,Bronx County,40.8181836,-73.812739
340,211th Street,Bay Terrace,Bay Terrace,Queens County,40.7802813,-73.7818912
341,Chestnut Avenue,Rosebank,Rosebank,Richmond County,40.6149561,-74.0745548
342,East 7th Street,Kensington,Kensington,Kings County,40.6422956,-73.972787
343,78th Street,Bay Ridge,Bay Ridge,Kings County,40.6279352,-74.0260154
344,Seth Court,Mid Island,Mid Island,Richmond County,40.6192765,-74.09515
345,251st Street,Little Neck,Little Neck,Queens County,40.7598591,-73.7290086
346,Cross Island Parkway,Flushing,Flushing,Queens County,40.7860789,-73.7928524
347,Gianna Court,Richmond,Richmond,Richmond County,40.5675492,-74.140764
348,Fulton Street,Cypress Hills,Cypress Hills,Kings County,40.6799197,-73.8839962
349,Genesee Avenue,Arden Heights,Arden Heights,Richmond County,40.5525576,-74.1709014
350,Knolls Crescent,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.879078,-73.9175196
351,Madison Street,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6862289,-73.9364224
352,East Tremont Avenue,East Bronx,East Bronx,Bronx County,40.8152029,-73.8154969
353,Riverdale Avenue,North Riverdale,North Riverdale,Bronx County,40.9048823,-73.9051113
354,East 55th Street,,Manhattan,New York County,40.7585686,-73.9669708
355,City Island Avenue,City Island,City Island,Bronx County,40.8549429,-73.7908303
