,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
2047,Townhouse for sale,2050000,7,4.0,5200.0,40.8,-73.937,8.556606193773073,14.53335083891935,4.0,Manhattan,New York County
2048,Co-op for sale,259000,3,1.0,250.0,40.75,-73.971,6.111467339502679,12.464587201678082,1.0,Manhattan,New York County
2049,Co-op for sale,900000,2,2.0,900.0,40.782,-73.981,6.803505257608338,13.710151153416941,2.0,Manhattan,New York County
2050,Co-op for sale,219000,3,1.0,550.0,40.621,-73.969,6.311734809152915,12.296831574998258,1.0,Midwood,Kings County
2051,Condo for sale,1795000,3,2.0,1773.0,40.81,-73.943,7.480992162869525,14.400516137007425,2.0,Manhattan,New York County
2052,Multi-family home for sale,2290000,4,5.0,2680.0,40.787,-73.783,7.893945138235959,14.64406281221155,5.0,Flushing,Queens County
2053,Townhouse for sale,10850000,4,2.3738608579684373,13000.0,40.766,-73.967,9.113388845899733,16.19967573011664,2.0,Manhattan,New York County
2054,Condo for sale,699000,2,2.0,1519.0,40.816,-73.943,7.326465613840322,13.457407451830088,2.0,Manhattan,New York County
2055,House for sale,998000,3,2.0,1728.0,40.729,-73.777,7.455298485683291,13.813509557297108,2.0,Jamaica,Queens County
2056,House for sale,1100000,3,2.3738608579684373,1728.0,40.614,-73.953,7.455298485683291,13.910821646859095,2.0,Midwood,Kings County
2057,Co-op for sale,425000,3,2.0,1300.0,40.738,-73.847,7.170888478512505,12.959846800844963,2.0,Forest Hills,Queens County
2058,Condo for sale,2750000,3,3.0,2782.0,40.681,-74.01,7.931284761525891,14.827111833279051,3.0,Red Hook,Kings County
2059,Co-op for sale,279999,1,1.0,790.0,40.584,-73.932,6.673297967767654,12.542544882151386,1.0,Sheepshead Bay,Kings County
2060,House for sale,715000,3,2.0,1728.0,40.695,-73.865,7.455298485683291,13.480039220276565,2.0,Jamaica,Queens County
2061,Condo for sale,980000,3,3.0,1574.0,40.605,-73.978,7.362010551259734,13.795308871054397,3.0,Gravesend,Kings County
2062,Multi-family home for sale,949000,6,3.0,2680.0,40.71,-73.761,7.893945138235959,13.76316513133229,3.0,Hollis,Queens County
2063,Co-op for sale,1600000,4,2.0,2350.0,40.705,-74.012,7.762596048540069,14.285514812209815,2.0,Manhattan,New York County
2064,Co-op for sale,640000,2,1.0,900.0,40.73,-73.983,6.803505257608338,13.369225017834633,1.0,Manhattan,New York County
2065,Multi-family home for sale,1299999,7,5.0,2680.0,40.628,-73.918,7.893945138235959,14.077874822431765,5.0,Bergen Beach,Kings County
2066,Co-op for sale,250000,1,2.0,740.0,40.913,-73.902,6.608000625296087,12.429220196836383,2.0,North Riverdale,Bronx County
2067,Pending,1188000,3,2.3738608579684373,1566.0,40.72,-73.778,7.356918242356021,13.987782620655215,2.0,Jamaica,Queens County
2068,Multi-family home for sale,1350000,7,4.0,2800.0,40.742,-73.869,7.937731775260109,14.115615891155079,4.0,Elmhurst,Queens County
2069,Contingent,725000,3,2.3738608579684373,1498.0,40.589,-74.161,7.312553498102598,13.493928313146206,2.0,New Springville,Richmond County
2070,Co-op for sale,309000,1,1.0,850.0,40.729,-73.849,6.7464121285733745,12.6410997921206,1.0,Forest Hills,Queens County
2071,House for sale,914999,4,2.0,1728.0,40.791,-73.847,7.455298485683291,13.726679344257658,2.0,Flushing,Queens County
2072,Condo for sale,600000,3,1.0,1100.0,40.76,-73.995,7.00397413672268,13.304686600863562,1.0,Manhattan,New York County
2073,House for sale,1750000,4,3.0,3225.0,40.633,-74.03,8.078998258685154,14.375126917328105,3.0,Bay Ridge,Kings County
2074,Condo for sale,950000,3,2.0,1401.0,40.605,-73.978,7.2456550675945355,13.76421831620775,2.0,Gravesend,Kings County
2075,Multi-family home for sale,850000,5,3.0,2680.0,40.674,-73.877,7.893945138235959,13.652992804936396,3.0,East New York,Kings County
2076,Condo for sale,5000000,2,2.0,2522.0,40.724,-74.001,7.833203948641057,15.424948670398354,2.0,Manhattan,New York County
2077,House for sale,1050000,3,2.0,1870.0,40.833,-73.817,7.534228326274089,13.864301674514206,2.0,East Bronx,Bronx County
2078,Condo for sale,1390000,4,3.0,1950.0,40.626,-73.982,7.576097340623111,14.144815024531075,3.0,Mapleton,Kings County
2079,Co-op for sale,400000,3,1.0,900.0,40.726,-74.002,6.803505257608338,12.899222326086994,1.0,Manhattan,New York County
2080,House for sale,750000,3,2.0,1728.0,40.674,-73.818,7.455298485683291,13.527829818844937,2.0,Jamaica,Queens County
2081,Condo for sale,9995000,3,4.0,2926.0,40.741,-73.982,7.9817332866918855,16.117595625966658,4.0,Manhattan,New York County
2082,Co-op for sale,529000,2,2.0,1200.0,40.744,-73.887,7.0909098220799835,13.178745601197818,2.0,Elmhurst,Queens County
2083,House for sale,1328888,3,2.0,1440.0,40.609,-73.983,7.273092595999522,14.099853812762577,2.0,Bensonhurst,Kings County
2084,Townhouse for sale,478888,2,2.0,1159.0,40.587,-74.164,7.05617528410041,13.079224116762246,2.0,New Springville,Richmond County
2085,Condo for sale,1350000,1,1.0,850.0,40.771,-73.965,6.7464121285733745,14.115615891155079,1.0,Manhattan,New York County
2086,Co-op for sale,2250000,2,2.0,900.0,40.737,-74.004,6.803505257608338,14.626441218624949,2.0,Manhattan,New York County
2087,House for sale,728000,2,1.0,1440.0,40.773,-73.803,7.273092595999522,13.498057700804253,1.0,Flushing,Queens County
2088,Co-op for sale,239900,1,1.0,900.0,40.783,-73.8,6.803505257608338,12.3879816172226,1.0,Whitestone,Queens County
2089,For sale,3399000,6,4.0,5000.0,40.68,-73.957,8.517393171418904,15.038992122882387,4.0,Bedford-Stuyvesant,Kings County
2090,Condo for sale,2750000,2,2.0,1892.0,40.735,-73.986,7.545918151209323,14.827111833279051,2.0,Manhattan,New York County
2091,Condo for sale,2095000,2,2.0,1600.0,40.76,-73.961,7.3783837129967145,14.55506458866523,2.0,Manhattan,New York County
2092,Co-op for sale,199900,3,1.0,550.0,40.729,-73.849,6.311734809152915,12.20557752297723,1.0,Forest Hills,Queens County
2093,Co-op for sale,2500000,3,3.0,900.0,40.782,-73.982,6.803505257608338,14.731801689838349,3.0,Manhattan,New York County
2094,Multi-family home for sale,1399999,4,4.0,2776.0,40.537,-74.184,7.9291264873067995,14.151982794585487,4.0,Woodrow,Richmond County
2095,House for sale,2300000,3,2.0,2800.0,40.79,-73.842,7.937731775260109,14.648420115681892,2.0,Flushing,Queens County
2096,House for sale,735000,3,2.0,1728.0,40.679,-73.812,7.455298485683291,13.507627138738266,2.0,Jamaica,Queens County
2097,Co-op for sale,399990,2,1.0,1000.0,40.721,-73.841,6.90875477931522,12.89919732583699,1.0,Flushing,Queens County
2098,Multi-family home for sale,850000,3,3.0,2646.0,40.579,-73.963,7.881182202227102,13.652992804936396,3.0,Brighton Beach,Kings County
2099,Co-op for sale,215000,3,1.0,625.0,40.732,-73.857,6.439350371100098,12.278397958261774,1.0,Rego Park,Queens County
2100,Co-op for sale,130000,1,1.0,720.0,40.853,-73.867,6.580639137284949,11.813037464800539,1.0,East Bronx,Bronx County
2101,Condo for sale,16995000,4,4.0,3310.0,40.741,-73.988,8.105005537547246,16.64842979995319,4.0,Manhattan,New York County
2102,Co-op for sale,1195000,3,2.0,900.0,40.799,-73.97,6.803505257608338,13.993657580167481,2.0,Manhattan,New York County
2103,Co-op for sale,679000,1,1.0,900.0,40.854,-73.939,6.803505257608338,13.428377879293798,1.0,Manhattan,New York County
2104,Contingent,299998,2,1.0,1200.0,40.608,-74.074,7.0909098220799835,12.61153442029945,1.0,Rosebank,Richmond County
2105,Condo for sale,690000,2,2.0,942.0,40.609,-73.981,6.849066282633458,13.444448325847754,2.0,Bensonhurst,Kings County
2106,Co-op for sale,185000,2,1.0,854.0,40.598,-73.935,6.75110146893676,12.128116509451258,1.0,Sheepshead Bay,Kings County
