,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
2187,Condo for sale,8900000,5,5.0,4297.0,40.778,-73.985,8.365905077202456,16.001561947061912,5.0,Manhattan,New York County
2188,Co-op for sale,189000,3,1.0,,40.753,-73.877,,12.149507585033072,1.0,Jackson Heights,Queens County
2189,House for sale,985000,3,2.0,,40.718,-73.793,,13.800397935382136,2.0,Jamaica,Queens County
2190,Co-op for sale,839000,3,2.0,1120.0,40.85,-73.939,7.02197642307216,13.639967177343745,2.0,Manhattan,New York County
2191,Co-op for sale,995000,3,2.0,,40.754,-73.964,,13.81049902116535,2.0,Manhattan,New York County
2192,Condo for sale,1439000,4,2.0,1625.0,40.697,-73.957,7.3938782901077555,14.179459680796295,2.0,Bedford-Stuyvesant,Kings County
2193,Co-op for sale,379000,2,1.0,900.0,40.728,-73.821,6.803505257608338,12.84529412258351,1.0,Flushing,Queens County
2194,Co-op for sale,3195000,4,4.0,,40.762,-73.959,,14.97709795878277,4.0,Manhattan,New York County
2195,Multi-family home for sale,1245000,5,2.0,1800.0,40.709,-73.893,7.496097345175956,14.034646891093473,2.0,Flushing,Queens County
2196,Townhouse for sale,1995000,4,4.0,,40.67,-73.941,,14.506155109559108,4.0,Crown Heights,Kings County
2197,Multi-family home for sale,365000,4,3.0,1600.0,40.635,-74.091,7.3783837129967145,12.807655372286902,3.0,Mid Island,Richmond County
2198,Condo for sale,950000,2,2.0,1025.0,40.767,-73.934,6.933423025730715,13.76421831620775,2.0,Astoria,Queens County
2199,House for sale,4195000,6,6.0,,40.721,-73.984,,15.249404136262438,6.0,Manhattan,New York County
2200,Condo for sale,209000,1,1.0,658.0,40.839,-73.857,6.490723534502507,12.250094315624496,1.0,Parkchester,Bronx County
2201,Pending,1390000,5,4.0,1992.0,40.63,-73.962,7.597396320212795,14.144815024531075,4.0,Flatbush,Kings County
2202,Condo for sale,8250000,6,6.0,3920.0,40.725,-73.994,8.27410200229233,15.925723879522977,6.0,Manhattan,New York County
2203,Co-op for sale,429000,2,1.0,850.0,40.618,-74.039,6.7464121285733745,12.969214528909768,1.0,Fort Hamilton,Kings County
2204,House for sale,950000,1,1.0,,40.752,-73.97,,13.76421831620775,1.0,Manhattan,New York County
2205,House for sale,699000,3,3.0,2835.0,40.632,-73.931,7.950149887652018,13.457407451830088,3.0,Flatlands,Kings County
2206,Condo for sale,450000,1,1.0,724.0,40.61,-73.954,6.586171654854675,13.017005083966255,1.0,Homecrest,Kings County
2207,House for sale,1190000,4,2.0,1500.0,40.594,-73.956,7.313886831633462,13.989464705423494,2.0,Homecrest,Kings County
2208,Co-op for sale,2995000,2,2.0,,40.747,-73.981,,14.912455123421447,2.0,Manhattan,New York County
2209,Condo for sale,349980,3,1.0,,40.719,-73.811,,12.765634146277788,1.0,Kew Gardens Hills,Queens County
2210,Contingent,339000,1,1.0,693.0,40.548,-74.157,6.542471960506805,12.733758336210744,1.0,Great Kills,Richmond County
2211,House for sale,649000,3,2.0,1257.0,40.65,-73.945,7.1372784372603855,13.38318953651709,2.0,Little Haiti,Kings County
2212,Co-op for sale,4695000,3,4.0,2600.0,40.782,-73.956,7.8636512654486515,15.362008883617023,4.0,Manhattan,New York County
2213,Co-op for sale,189999,1,1.0,,40.759,-73.876,,12.154779351142624,1.0,East Elmhurst,Queens County
2214,House for sale,399888,3,4.0,1613.0,40.887,-73.859,7.3864708488298945,12.89894228757987,4.0,East Bronx,Bronx County
2215,Pending,1199900,4,4.0,2393.0,40.548,-74.16,7.780720886117918,13.997749611354916,4.0,Eltingville,Richmond County
2216,Condo for sale,1395000,3,4.0,2472.0,40.815,-73.953,7.813187267521416,14.148405690083225,4.0,Manhattan,New York County
2217,House for sale,2759000,6,6.0,,40.609,-73.903,,14.83037921564952,6.0,Mill Basin,Kings County
2218,Condo for sale,2995000,4,3.0,2135.0,40.803,-73.957,7.666690200080086,14.912455123421447,3.0,Manhattan,New York County
2219,Co-op for sale,399000,1,1.0,,40.728,-73.851,,12.896719202134523,1.0,Flushing,Queens County
2220,Multi-family home for sale,16995000,5,4.0,4230.0,40.733,-74.005,8.350193650720067,16.64842979995319,4.0,Manhattan,New York County
2221,Co-op for sale,650000,2,1.0,1060.0,40.851,-73.941,6.966967138613983,13.384729180332174,1.0,Manhattan,New York County
2222,House for sale,2599000,4,3.0,3510.0,40.606,-73.902,8.163656176168432,14.770637698386924,3.0,Mill Basin,Kings County
2223,Townhouse for sale,1195000,4,2.0,2625.0,40.685,-73.959,7.873217054862741,13.993657580167481,2.0,Bedford-Stuyvesant,Kings County
2224,House for sale,1288000,3,2.0,1188.0,40.623,-74.03,7.080867896690782,14.06860196204365,2.0,Fort Hamilton,Kings County
